Insulin-like peptide receptor,K05087 
Protein usf,K01061
Probable RNA-binding protein YqeI,nan
Cadherin-86C,K16506
Putative uncharacterized protein,K09204
Cytochrome P450 6k1,K14999
Putative uncharacterized protein,K08844
Phospholipid-transporting ATPase DNF1,K01530
Nephrin,K06767
Uncharacterized phosphatase PhoE,K14634
Protein transport protein sec31,K14005
CBY1-interacting BAR domain-containing protein 2,K23868
Transcription factor Sox-21-B,K09267
Mitochondrial import inner membrane translocase subunit Tim9,K17777
Netrin receptor DCC,K22657
Chymotrypsin-2,K01311
LINE-1 reverse transcriptase homolog,K12852
"Neuroligin-4, Y-linked",K01050
Putative uncharacterized protein,K08635
THAP domain-containing protein 6,K23209
Vesicle-associated membrane protein-associated protein B/C,K06096
Coadhesin (Fragment),K06841
Putative uncharacterized protein,K14861
Basigin,K14780
"Solute carrier family 2, facilitated glucose transporter member 3",K08144
Sorbitol-6-phosphate 2-dehydrogenase,K15890
Transposon Ty3-I Gag-Pol polyprotein,nan
Transmembrane protein 183A,nan
Heterogeneous nuclear ribonucleoprotein R,K13161
RYamide receptor,K04231
Major glycerophosphoinositol permease GIT3,K15901
Alanyl-tRNA editing protein Aarsd1,K00827
Sideroflexin-1,K23500
Probable aspartic-type endopeptidase opsB,K01379
"Biphenyl 2,3-dioxygenase, ferredoxin reductase component",K22747
2-oxoglutarate-Fe(II) type oxidoreductase ppzC,nan
Probable cytochrome P450 9f2,K15003
Uncharacterized MFS-type transporter YdeE,nan
Mast cell protease 3,K01353
Protein snakeskin,K06210
Mid1-interacting protein 1-B,nan
Alkaline phosphatase isozyme conversion protein,nan
Methionine import ATP-binding protein MetN 2,K05648
Protein NEDD1,K16547
Dihydroxy-acid dehydratase 3,nan
Probable RNA-directed DNA polymerase from transposon BS,K23222
Protein piccolo (Fragment),K15297
Protein-L-isoaspartate O-methyltransferase domain-containing protein 1,K24104
Nodulation protein NolG,K07798
Malonyl-S-ACP:biotin-protein carboxyltransferase MADC,nan
Sugar transporter ERD6-like 7,K08145
Cullin-4B,K10609
Adhesion G protein-coupled receptor L4,K08455
Uncharacterized protein CG45076,nan
Transmembrane protein 50B,nan
Pleiotropic ABC efflux transporter of multiple drugs CDR1,K05679
Trimeric autotransporter adhesin AtaA,nan
Probable dehydratase NIT22,K12405
Aspartate carbamoyltransferase,K11540
Hypoxia up-regulated protein 1,K09486
Carbonic anhydrase,nan
O-methyltransferase mpaG,nan
Sodium- and chloride-dependent taurine transporter,K05046
Centrosome-associated zinc finger protein CP190,K10457
"54S ribosomal protein IMG1, mitochondrial",nan
Sugar efflux transporter A,nan
Putative uncharacterized protein,K14303
Mast cell protease 1,K01312
Phenylalanine--tRNA ligase beta subunit,nan
Neuronal calcium sensor 1,K19932
Respiratory nitrate reductase 1 gamma chain,nan
Uncharacterized protein YutG,nan
Putative uncharacterized protein,K06061
Putative uncharacterized protein,K07819
Trypsin I-P1,K09636
Putative U2 small nuclear ribonucleoprotein auxiliary factor 35 kDa subunit-related protein 1,K24273
Putative uncharacterized protein,K18188
Lumican,K08124
Protein phosphatase 1A,K04461
Phenolphthiocerol/phthiocerol polyketide synthase subunit E,K00665
Para-nitrobenzyl esterase,K01050
UPF0229 protein YeaH,nan
Release factor glutamine methyltransferase,nan
Putative uncharacterized protein,K23583
Opioid-binding protein/cell adhesion molecule,K06774
Thioredoxin domain-containing protein 3 homolog,K19868
Calmodulin-like protein 12,K02183
Organic hydroperoxide resistance protein,nan
Doublesex- and mab-3-related transcription factor 2,K19491
Coiled-coil domain-containing protein R3HCC1L,K09191
N5-carboxyaminoimidazole ribonucleotide mutase,K01587
ATP-dependent DNA helicase Hel308,K02349
UDP-glucuronosyltransferase 2B10,K00699
Protein tilB,K19753
Serine/threonine-protein kinase AtPK1/AtPK6,K16308
Nonribosomal peptide synthetase sidC,K03334
High mobility group protein 20A,K11296
ADP-ribosylation factor 6,K07941
Alkaline protease 1,K13049
"Pyruvate dehydrogenase E1 component subunit beta-1, mitochondrial",K00162
Circadian locomoter output cycles protein kaput,K02223
Duodenase-1,K08667
Uncharacterized transporter PB10D8.01,nan
Cytokinesis protein sepA,nan
RUS family member 1,nan
Zinc finger protein AEBP2,K17452
ATP-dependent DNA helicase SRS2-like protein At4g25120,nan
WD repeat-containing protein 3,K14556
"Putative aconitate hydratase, mitochondrial",K01681
Bardet-Biedl syndrome 1 protein,K16746
Putative uncharacterized protein,K09560
Guanylate kinase,K00942
Neuropeptide FF receptor 2,K04239
Chitin synthase 8,nan
Acyl-CoA dehydrogenase AFT10-1,K00249
Protein toll,K18808
Zinc-type alcohol dehydrogenase-like protein SERP1785,K00344
Sarcosine oxidase subunit beta,K00315
Uncharacterized cell wall amidase pXO2-42/BXB0045/GBAA_pXO2_0045,nan
Hermansky-Pudlak syndrome 1 protein homolog,K20193
Cold shock-like protein CspC,nan
Non-hemolytic phospholipase C,K01114
F-box/WD repeat-containing protein 9,K10265
Multifunctional CCA protein,K00974
Glutamate 5-kinase,nan
SAGA-associated factor 73,nan
Toll-like receptor 8,K17256
HTH-type transcriptional regulator GolR,nan
Sulfotransferase 1A3,K01016
Putative uncharacterized protein,K01229
UDP-N-acetyl-D-glucosamine 6-dehydrogenase,K02474
Kinesin-like protein KIF18B,K09530
Zinc finger protein 646,K09228
Separin,K02365
Uncharacterized transporter MJ1031,nan
Chorion class B protein ERB4,nan
Probable RNA-directed DNA polymerase from transposon X-element,K01273
PHD finger protein rhinoceros,K22156
Myosin regulatory light chain 2,nan
Protein apterous,K09373
OTU domain-containing protein 7B,K11860
Oplophorus-luciferin 2-monooxygenase non-catalytic subunit,K05404
PTS system glucose-specific EIIBCA component,K02804
Contactin-6,K06491
Protein CBFA2T3,K22752
Probable glycoprotein hormone G-protein coupled receptor,K10170
Chelonianin,K23624
Protein fem-1 homolog C,K10349
ATP-dependent RNA helicase DeaD,K03257
Pyrimidine-specific ribonucleoside hydrolase RihA,nan
Protein TONNEAU 1b,K16546
Uncharacterized protein YmaE,nan
L-aspartate dehydrogenase,nan
Transcription factor SFP1,nan
Uncharacterized protein C2F7.07c,K11642
Acetate kinase,K00139
PiggyBac transposable element-derived protein 2,K22594
Delta(5) fatty acid desaturase A,K23490
Importin-13,nan
Cytochrome P450 monooxygenase AKT7,K07428
Monocarboxylate transporter 7,K08190
Mid1-interacting protein 1-like,nan
Oxalate decarboxylase ARB_02208,nan
Lectin subunit alpha,K06560
Cell division cycle protein 48 homolog AF_1297,K13338
Protein phosphatase PHLPP-like protein,K00699
Putative aldehyde dehydrogenase DhaS,K07249
LIM domain-binding protein 1,K24143
AP-1 complex subunit mu,K12398
Manganese-transporting ATPase 13A1,K14950
Putative uncharacterized protein,K17987
RNA-binding protein lark,K12885
Uncharacterized protein MJ0827,K17286
Cytochrome P450 monooxygenase ORF9,nan
Mitochondrial import inner membrane translocase subunit Tim8,K17780
Afadin,K05702
77 kDa echinoderm microtubule-associated protein,K18595
Leucine-rich repeat-containing protein 40,K08843
DNA polymerase delta small subunit,K02328
Receptor-type tyrosine-protein phosphatase F,K12567
Coronin-1B,K13886
"28S ribosomal protein S10, mitochondrial",K02946
Protein YSC84,K20523
CBL-interacting serine/threonine-protein kinase 15,K08811
Zinc finger protein weckle,K09228
Biotin carboxylase,K01965
Copper-transporting ATPase RAN1,K17686
NAD kinase,K19269
Coagulation factor X,K09640
Bifunctional F420 biosynthesis protein FbiB,nan
Bombyxin B-1,K04526
UPF0488 protein C8orf33 homolog,nan
Chymotrypsin-2,K09636
Glycosyltransferase GlyA,K00721
Putative uncharacterized protein,K18953
Protocadherin Fat 1,K06813
Uncharacterized oxidoreductase UxuB,K13370
Uncharacterized HTH-type transcriptional regulator PYRAB01370,nan
Ras-related and estrogen-regulated growth inhibitor,K07852
Tetraspanning orphan receptor,K12387
BTB and MATH domain-containing protein 40,K10523
"Succinate-semialdehyde dehydrogenase, mitochondrial",K00139
Serine protease 29,K01362
Ribosomal RNA large subunit methyltransferase H,nan
Methylthioribose transporter,K13864
Probable magnesium transporter NIPA8,K22733
Phenoloxidase-activating factor 1,K08648
DNA polymerase IV,K03515
Protein RCC2,K10594
Putative antiporter CaxA,K13750
Putative uncharacterized protein,K07756
Glomulin,K23345
Esterase,K14351
Asialoglycoprotein receptor 2,K06721
Transcription elongation regulator 1,K12824
Porin-like protein NicP,nan
Uncharacterized oxidoreductase MT0954,K14729
Putative uncharacterized protein,K19663
Heat shock protein HspQ,K12298
Zinc metalloproteinase nas-23,K08606
Phenylalanine--tRNA ligase alpha subunit,K02209
3'-5' ssDNA/RNA exonuclease TatD,nan
Putative uncharacterized protein,K02906
Transmembrane protein 39A-A,nan
Uncharacterized protein slr0712,nan
Uncharacterized protein YJL213W,K21798
Uridine nucleosidase,K01239
BTB/POZ domain-containing protein 17,K13956
Glutaminase,K01425
17-beta-hydroxysteroid dehydrogenase 13,K15734
Flavin-containing monooxygenase FMO GS-OX-like 9,K00485
Hemolymph lipopolysaccharide-binding protein,K06563
CaiB/baiF CoA-transferase family protein ZK892.4,K01796
Ribosome biogenesis protein nsa2,K14842
Inducible lysine decarboxylase,K00816
Probable RNA-directed DNA polymerase from transposon X-element,K11136
Ornithine decarboxylase,K01581
Putative inorganic phosphate transporter C8E4.01c,K08202
Putative uncharacterized protein,K12562
Lactose permease,K08139
Uncharacterized endoplasmic reticulum membrane protein C1709.03,nan
Glycerol kinase 3,K00864
Putative D-3-phosphoglycerate dehydrogenase,K00058
Hemicentin-1,K16681
CBP80/20-dependent translation initiation factor,nan
Kinesin-like protein Klp68D,K20196
Endothelin-converting enzyme 2,K01389
Syntaxin-1A,K04560
Putative uncharacterized protein,K05749
Oxaloacetate decarboxylase beta chain 1,nan
Uncharacterized HTH-type transcriptional regulator YdeL,nan
CCR4-NOT transcription complex subunit 10-A,K12607
Zinc metalloproteinase nas-7,K18542
Protein TORNADO 1,K20865
UDP-glucosyltransferase 2,K22869
Down syndrome cell adhesion molecule-like protein 1,K22655
Protein translocase subunit SecA 2,nan
Protein translocase subunit SecE,nan
Putative uncharacterized protein,K20995
Short-chain dehydrogenase reductase 3a,K00069
cAMP-dependent protein kinase regulatory subunit,K19477
6-phosphogluconolactonase,nan
ATP-dependent Clp protease adapter protein ClpS,K01230
Putative uncharacterized protein,K05350
Proto-oncogene tyrosine-protein kinase LCK,K08890
"Protein kinase C, brain isozyme",K02677
Protein ROP,K15292
60S ribosomal protein L27a,K02900
Type IV pilus biogenesis factor PilY1 homolog PD_1611,nan
Pyrimidine 5'-nucleotidase YjjG,nan
Probable thioesterase atnL,nan
Meiosis protein mei2,nan
Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta,K11583
Probable V-type proton ATPase 20 kDa proteolipid subunit,K03661
Cytochrome c',nan
Bacitracin transport ATP-binding protein BcrA,nan
J domain-containing protein CG6693,K09529
Putative uncharacterized protein,K18585
Beta-galactosidase-1-like protein 2,K12309
Zinc transporter ZIP9-A,K14715
Uncharacterized protein HI_1054,nan
CBL-interacting protein kinase 31,K04361
"Catechol 1,2-dioxygenase (Fragment)",nan
Multisite-specific tRNA:(cytosine-C(5))-methyltransferase,K15335
Cutinase gene palindrome-binding protein,K14961
Transposon Tn501 resolvase,nan
Lipoprotein-releasing system ATP-binding protein LolD,K05651
Cilia- and flagella-associated protein 52,K11127
Eukaryotic translation initiation factor 2-alpha kinase 1,K16194
REPTOR-binding partner,nan
Pyrrolidone-carboxylate peptidase,K01304
Chymotrypsin BII,K09620
SH3 and cysteine-rich domain-containing protein,K23712
RHO1 GDP-GTP exchange protein 2,nan
Serpin B12,K07521
Uncharacterized protein MT2982.1,nan
RNA pyrophosphohydrolase,K01518
Basic juvenile hormone-suppressible protein 2,nan
RNA-binding protein 24-A,nan
PDF receptor,K22738
Monocarboxylate transporter 1,K08186
"Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase",K03848
Diamine acetyltransferase 1,K00657
Putative uncharacterized protein,K08832
Ribosomal RNA-processing protein 7 homolog A,K14545
General stress protein A,nan
Vacuolar protein sorting-associated protein 27,K12182
Dehydrocurvularin biosynthesis regulator,nan
Band 4.1-like protein 4A,K23962
tRNA-splicing endonuclease subunit Sen2,K15322
Protein transport protein BOS1,K08496
Death-inducer obliterator 1,K14960
Putative hemin import ATP-binding protein HrtA,nan
Cyclin-P,K23469
Katanin p60 ATPase-containing subunit A1 (Fragment),K07767
Putative outer membrane protein NMB0088,nan
Zinc finger protein ush,K17441
"Apoptosis-inducing factor 1, mitochondrial",K04727
Probable carboxypeptidase ACLA_013260,nan
Telomere length regulator protein rif1,K11138
Calcium and integrin-binding family member 2,K23837
Leucine-zipper-like transcriptional regulator 1,K20285
Transposon Ty3-I Gag-Pol polyprotein,K22656
Thioredoxin-2,K03671
Transcription modulator YdgT,nan
Nitric oxide synthase-interacting protein,K13125
Putative uncharacterized protein,K17409
"Elongation factor Tu, mitochondrial",K15361
Cyclin-dependent kinase-like 1,K08824
RNA polymerase sigma factor FliA,nan
Adenylate-forming reductase cicB,K13356
Poly(A) RNA polymerase gld-2,K14079
Major cardiolipin synthase ClsA,nan
Protein FAM43A,nan
Uncharacterized ABC transporter ATP-binding protein YclH,K05658
ATP-dependent RNA helicase CshA,K03257
Uncharacterized transporter slc-17.2,K12301
ATP-binding cassette sub-family G member 4,K09530
Cellulose synthase 1,nan
Xylanolytic transcriptional activator xlnR,nan
Potassium voltage-gated channel subfamily H member 7,K04955
Solute carrier family 43 member 3,K08230
Neuropeptide Y receptor type 2,K14071
L-xylulose reductase,K10402
Putative uncharacterized protein,K10660
Putative uncharacterized protein,K24055
Synaptotagmin-16,K19328
Uncharacterized FAD-binding protein C12C2.03c,nan
Protein Tob1,K14443
Pantetheinase,K08069
Putative uncharacterized protein,K21413
High-affinity zinc uptake system protein ZnuA,nan
Protein alcS,K22072
A-kinase anchor protein 9,K16551
RYamide receptor,K08375
Heat shock protein 60A,K04077
"2,4-dienoyl-CoA reductase",nan
Ubiquitin-like-conjugating enzyme ATG3,K08343
Putative uncharacterized protein,K09097
Modification methylase HphIA,K00558
Kinetochore protein Sos7,nan
Plipastatin synthase subunit D,K00142
Electron transfer flavoprotein beta subunit lysine methyltransferase,K22843
Transposon Ty3-G Gag-Pol polyprotein,K11262
Chromatin structure-remodeling complex subunit rsc7,nan
C3 and PZP-like alpha-2-macroglobulin domain-containing protein 8,K23593
Probable bifunctional methylthioribulose-1-phosphate dehydratase/enolase-phosphatase E1,K09880
Aldehyde dehydrogenase,K00128
Putative ubiquitin carboxyl-terminal hydrolase 11,K11847
Casein kinase I homolog 1,K08958
GATA-type transcription factor sreA,nan
Probable ATP-binding protein YheS,K06184
Collagen alpha-1(I) chain,K19721
Putative uncharacterized protein,K18449
Putative uncharacterized protein,K16468
Protein hunchback (Fragment),K09228
Lipase 1,K13700
Chaperone protein HtpG,K00264
Tetraspanin-9,K06571
DNA-directed RNA polymerase III subunit rpc3,K03023
Early growth response protein 3,K09207
Oxalate decarboxylase OxdD,nan
Probable rhamnogalacturonate lyase B,nan
Inner membrane protein YccA,nan
Alpha-L-fucosidase 2,nan
Transcriptional regulator MT0503,nan
Delta(9)-fatty-acid desaturase fat-6,K00507
Alpha-fibrinogenase-like,K01312
Heat shock 70 kDa protein cognate 5,K04043
Putative uncharacterized protein,K18412
Serine/threonine-protein kinase plo1,K06631
UBX domain-containing protein 10,K18726
Putative uncharacterized protein,K09366
Low-density lipoprotein receptor-related protein 2,K06255
Organic cation transporter protein,K08198
Serine palmitoyltransferase small subunit A-B,nan
Urease accessory protein UreD 1,nan
Uncharacterized protein ECU07_1090,nan
Uncharacterized protein YwnB,nan
Mitochondrial carrier protein RIM2,K15116
Larval cuticle protein 16/17,nan
Peptidyl-prolyl cis-trans isomerase slr1251,K12174
Calcium-transporting ATPase type 2C member 2,K01537
Putative uncharacterized protein,K10522
Protein transport protein sec73,K18441
Putative uncharacterized protein,K06111
Set1 complex component swd1,K14961
Acetyl-/propionyl-coenzyme A carboxylase alpha chain,nan
Liprin-alpha-4,K19931
Ferritin heavy chain A,K00522
Ionotropic receptor 21a,K01052
Serine protease inhibitor 3/4 (Fragment),K23469
Nuclear hormone receptor family member nhr-25,K08705
Peroxisomal membrane protein PEX14,K13343
Non-specific lipid-transfer protein,K08764
Odorant receptor 49b,K22984
Tyrosine phosphatase-like protein J3,K18033
Putative dipeptidase CPC735_014430,K01273
Probable acyl-activating enzyme 22,K01904
Serine/threonine-protein phosphatase 6 regulatory subunit 3,K15500
"Cytochrome b2, mitochondrial",K23490
Tetratricopeptide repeat protein 37,K12600
ADP-ribosylation factor-like protein 8A,K07955
DNA ligase 1,nan
Mite allergen Eur m 3,K01312
Sodium/pantothenate symporter,K14389
"RNA-binding motif protein, X-linked 2",K13107
NADP-dependent mannitol dehydrogenase,K03331
Tigger transposable element-derived protein 4,K09228
DNA translocase FtsK,K11886
Pur operon repressor,nan
4-carboxy-2-hydroxymuconate-6-semialdehyde dehydrogenase,nan
Chaperone protein dnaJ 2,K09502
Peroxisomal membrane protein 11A,K13352
Na(+)-translocating NADH-quinone reductase subunit B,nan
Dehydrodolichyl diphosphate synthase complex subunit nus1,K19177
HTH-type transcriptional regulator BudR,nan
Dehydrogenase str4,K00108
Acetylcholinesterase,K07378
Putative uncharacterized protein,K15277
Neuromedin-K receptor,K04210
Glycine betaine/proline betaine transport system permease protein ProW,nan
Calcium-channel protein CCH1,nan
Acetoacetyl-CoA reductase,K08469
Hsp90 co-chaperone Cdc37,K09554
Mu-like prophage FluMu DNA transposition protein B,nan
Cell wall synthesis protein Wag31,nan
Tyrosine-protein phosphatase non-receptor type 23,K22594
Putative uncharacterized protein,K04145
Opsin-2,K04255
SET domain-containing protein SNOG_11806,K11423
Putative uncharacterized protein,K08810
AKT-interacting protein,K10573
Kallikrein 1-related peptidase b22,K09640
"3',5'-nucleoside bisphosphate phosphatase",nan
NADH-quinone oxidoreductase subunit C/D,K03936
PiggyBac transposable element-derived protein 1,K14290
Vigilin,nan
Endocuticle structural glycoprotein SgAbd-5,K06236
"Phospho-2-dehydro-3-deoxyheptonate aldolase, tyrosine-inhibited",nan
Pancreatic triacylglycerol lipase,K05643
"Cullin-associated NEDD8-dissociated protein 1, C-terminal part",K01049
Uncharacterized lipoprotein YdcL,nan
Methyltransferase-like protein 25,nan
"UPF0651 protein P31B10.02, mitochondrial",K00326
Uracil-DNA glycosylase,nan
Gelsolin-like protein 1,K05768
Cytochrome P450 52A12,K15001
Putative beta-barrel assembly-enhancing protease,nan
Zinc finger X-chromosomal protein,K22534
Putative carbamoyltransferase YgeW,nan
G2-specific protein kinase nimA,K20872
Ras-related protein Rab-7a,K07897
Kelch domain-containing protein 10 homolog,K14966
Protein FAM50 homolog,K13119
Transport protein particle subunit bet5,K20300
KICSTOR complex protein C12orf66 homolog,K23297
Uncharacterized FAD-linked oxidoreductase YgcU,K00803
Voltage-gated potassium channel subunit beta-1,K04882
Serine protease inhibitor A3K,K13963
Lipoprotein-releasing system transmembrane protein LolC,K00547
DEAD-box ATP-dependent RNA helicase CshB,K03257
Zinc finger autosomal protein,K22534
"2-dehydro-3,6-dideoxy-6-sulfogluconate aldolase",nan
Putative uncharacterized protein,K07852
Jouberin,K16740
Glucose 1-dehydrogenase 4,K10402
Serine/threonine-protein phosphatase PP2A 65 kDa regulatory subunit,K03456
U-actitoxin-Avd3f,K23623
"Pentatricopeptide repeat-containing protein 1, mitochondrial",K17710
Caspase-8,K04399
Prenytransferase ascA,nan
Aurora kinase,K11481
WD repeat-containing protein 55 homolog,K16547
Histone-lysine N-methyltransferase 2A,nan
Probable RNA-directed DNA polymerase from transposon BS,K24141
Granzyme M (Fragment),K09752
HTH-type transcriptional regulator MurR,nan
High-affinity branched-chain amino acid transport ATP-binding protein BraG,K05643
Catenin alpha-2,K05691
Probable multidrug ABC transporter ATP-binding protein YbhF,K05641
Glycine betaine transport ATP-binding protein OpuAA,K05644
Putative zinc finger protein B0310.2,K10512
Thiamine repressible genes regulatory protein thi1,K14328
Tyrosine-protein phosphatase non-receptor type 14,K18025
Tetrathionate reductase subunit A,nan
UDP-N-acetylglucosamine/UDP-glucose/GDP-mannose transporter (Fragment),K15281
Maternal embryonic leucine zipper kinase,K08797
Soluble NSF attachment protein 29,K08509
6-phospho-beta-glucosidase BglT,K19511
Cell wall protein Lmo0130,nan
Formate hydrogenlyase subunit 2,nan
Protein Wnt-5a,K00444
Vanin-like protein 3,K08069
Voltage-dependent T-type calcium channel subunit alpha-1G,K04854
Putative sodium/proton-dependent alanine carrier protein YrbD,nan
Protein dispatched,nan
Uncharacterized ATP-dependent helicase YprA,K10730
"Oligoendopeptidase F, chromosomal",nan
E3 ubiquitin-protein ligase RNF181,K11985
Uncharacterized oxidoreductase YvrD,K11147
Probable secreted lipase ARB_02369,K07378
Tyrosine phosphatase-like protein J3,K18026
Probable succinyl-diaminopimelate desuccinylase,K14677
Kunitz-type serine protease inhibitor C1,K24427
Kunitz-type serine protease inhibitor vestiginin-1,K03909
Peroxisomal membrane protein PER10,nan
3-hydroxyadipyl-CoA dehydrogenase,K00022
Chorion class CA protein ERA.2,nan
Uncharacterized HTH-type transcriptional regulator PF1734,nan
Casein kinase I isoform delta-B,K08960
ABC transporter G family member 27,K05679
Biotin transporter BioY2,nan
WASH complex subunit 5,K18464
Cathepsin L-like proteinase,K01371
"Probable hydroxyacid-oxoacid transhydrogenase, mitochondrial",K11173
L-carnitine dehydrogenase,nan
N-acetylmuramoyl-L-alanine amidase,K24076
Putative Gly-rich membrane protein Bcell_0380,nan
Suppressor of lurcher protein 1,K05502
Putative uncharacterized protein,K03958
Cyclin-dependent kinase 2,K02088
Bifunctional aspartokinase/homoserine dehydrogenase 2,K00003
Putative uncharacterized protein,K01411
Uncharacterized mitochondrial protein AtMg00860,K23209
Uncharacterized 52.8 kDa protein in TAR-I ttuC' 3'region,K18703
Putative uncharacterized protein,K18159
Bifunctional trehalose-6-phosphate synthase/phosphatase,K16055
Carboxyvinyl-carboxyphosphonate phosphorylmutase,nan
Protein suppressor of sable,nan
Cytochrome P450 3A29,K15003
Putative uncharacterized protein,K19477
Glutamate decarboxylase,nan
Uncharacterized sugar kinase YeiI,K16330
50S ribosomal protein L2,K02886
Shootin-1,nan
UTP--glucose-1-phosphate uridylyltransferase,nan
Probable secreted lipase ARB_02369,nan
Viral cathepsin,K01373
Putative cystathionine gamma-lyase 2,K01758
L-ascorbate oxidase,K00423
Chaoptin,K10161
Protein draper,K24068
Putative uncharacterized protein,K19513
Adenylosuccinate synthetase,K01939
Acetolactate synthase large subunit,K11259
Innexin unc-7,K22037
Putative uncharacterized protein,K08462
Outer membrane transporter CdiB,nan
Carbamoyl-phosphate synthase small chain,K01948
Inhibitor of growth protein 3,K11319
Glutathione hydrolase,K18592
Titin,K17531
UPF0173 metal-dependent hydrolase AF_1265,nan
Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex,K00627
Putative uncharacterized protein,K01166
Polycomb protein Scm,K11461
Zinc finger protein PLAGL2,K19486
Protein-glutamate methylesterase/protein-glutamine glutaminase 1,nan
Testis-specific chromodomain protein Y 2,K00653
Putative uncharacterized protein,K15278
Putative uncharacterized protein,K24332
Diphosphoinositol polyphosphate phosphohydrolase 2,K07766
Kelch-like protein 9,K10442
Nuclear receptor coactivator 7,K21841
Lysine-specific demethylase 5D,K11446
NADPH oxidase 1,K21423
Uncharacterized ABC transporter ATP-binding protein YbbA,K05665
Eukaryotic translation initiation factor 3 subunit K,K15028
Inner membrane transport protein RhmT,K12301
NDP-N-acetyl-D-galactosaminuronic acid dehydrogenase,nan
Chymotrypsin-like elastase family member 2B,K01312
Acyl-coenzyme A thioesterase 13,K17362
Free methionine-R-sulfoxide reductase,nan
RCC1 domain-containing protein 1,K10595
Leu/Ile/Val-binding protein homolog 3,K05200
Chaoptin (Fragment),K04309
Protein canopy homolog 3,K22816
Beta-taxilin,K07524
"Nudix hydrolase 14, chloroplastic",K13987
Probable CTD kinase subunit alpha homolog,K08819
Phenoloxidase-activating factor 3,K08670
Protein bfr2,K14782
Cytosolic phospholipase A2 zeta,K16342
Krueppel-like factor 3,K09205
Putative uncharacterized protein,K23965
Envelope fusion protein,K18468
I-kappa-B like protein N2,K04469
cAMP-dependent protein kinase type II regulatory subunit,K04351
Probable kinetochore protein spc24,nan
Solute carrier family 22 member 6-B,K08209
"Indoleamine 2,3-dioxygenase",K00463
Phosphoinositide 3-kinase regulatory subunit 4,K08333
Probable cyclic di-GMP phosphodiesterase PdeC,nan
1-deoxypentalenic acid 11-beta-hydroxylase,K00477
HTH-type transcriptional regulator CynR,K21698
Fasciclin-3,K24496
Aminodeoxychorismate synthase,K14394
Nephrin,K06774
Long-chain-fatty-acid--CoA ligase,K23617
Heat shock protein 68,K03283
Glandular kallikrein,K01312
WAP four-disulfide core domain protein 2,K23624
Tyrosine-protein phosphatase pmp1,K14819
Putative uncharacterized protein,K09598
5'-3' exoribonuclease 2,K12619
"UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptandioate ligase",K02558
Junction-mediating and -regulatory protein,K20479
Integrin alpha-8,K06584
Cell shape-determining protein MreB,K04043
Probable galactinol--sucrose galactosyltransferase 1,nan
GLIPR1-like protein 1,nan
HTH-type transcriptional repressor NsrR,nan
UDP-N-acetylglucosamine 1-carboxyvinyltransferase 2,nan
Polysaccharide monooxygenase Cel61a,nan
Short-chain dehydrogenase/reductase VdtF,K13236
Putative uncharacterized protein,K12321
Guanylate kinase 1,K00942
tRNA-specific adenosine deaminase 1,K15440
DegV domain-containing protein SCO2569,nan
Probable E3 ubiquitin-protein ligase hulA,K05633
NADP-dependent mannitol dehydrogenase,K12405
Diacylglycerol kinase gamma,K00901
Potassium voltage-gated channel subfamily H member 2,K04911
NADH-quinone oxidoreductase subunit F,K03942
Uncharacterized MFS-type transporter YvkA,nan
L-allo-threonine aldolase,K01620
Probable pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH5,K12818
Riboflavin transporter RibZ,K14258
Homoserine O-succinyltransferase,K01745
Peroxiredoxin sll1621,K01079
Heat shock protein HSP 90-beta,K04079
Dual specificity protein kinase lkh1,K23561
Putative uncharacterized protein,K18082
GATA-binding factor A,K09183
Bacitracin transport ATP-binding protein BcrA,K05646
mRNA 3'-end-processing protein YTH1,K14404
UPF0182 protein CMM_1204,K07511
F-actin-capping protein subunit beta,K10365
"Beta-1,4-N-acetylgalactosaminyltransferase bre-4",K09905
Larval/pupal rigid cuticle protein 66,K13238
Heat shock protein 27,K04455
Probable ATP-dependent helicase lhr,K15271
Probable sodium-coupled neutral amino acid transporter 6,K15015
Sodium/hydrogen exchanger 9,K12041
Cytochrome P450 monooxygenase astJ,nan
Probable G-protein coupled receptor Mth-like 2,K04599
Transcription elongation factor GreA,nan
Target of Myb protein 1,K04705
Putative uncharacterized protein,K09750
Defense against restriction protein A,nan
Neural cell adhesion molecule 1,K16680
"Single-stranded DNA-binding protein RIM1, mitochondrial",nan
Phospholipid phosphatase 4,K01080
"PTS-dependent dihydroxyacetone kinase 1, dihydroxyacetone-binding subunit DhaK",K00863
Menaquinone reductase,K00511
Mannose-1-phosphate guanylyltransferase 1,nan
Zinc finger BED domain-containing protein 4,K23819
Serine-threonine kinase receptor-associated protein,K10848
Lysine--tRNA ligase,K04567
Atrial natriuretic peptide receptor 1,K12321
Protein YoeA,nan
Trypsin inhibitor,K06238
Organic cation transporter protein,K08209
Putative uncharacterized protein,K09452
Solute carrier family 22 member 6,K08200
Neuronal acetylcholine receptor subunit non-alpha-3,K05312
Putative uncharacterized protein,K24253
Putative uncharacterized protein,K10360
Tetraspanin-1,K17352
